site_name,device_hostname,device_description,last_user,last_seen,device_type,device_model,operating_system,serial_number,device_cpu,mac_addresses
AAM,AAMDT431,CVSHDT431,CVSH\cb30357,2/3/2025 23:51,Desktop,OptiPlex 7010,Microsoft Windows 10 Pro 10.0.19045,9GWNSW1,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,90:B1:1C:9D:12:A6
AAM,AAMDT405,CVSHDT405,CVSH\db30324,3/5/2025 22:05,Desktop,HP Compaq Pro 6300 SFF,Microsoft Windows 10 Pro 10.0.19045,MXL3331DV1,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,74:46:A0:A8:A3:CF
AAM,AAMDT492,CVSHDT492,CVSH\tammy.thompson,2/25/2025 13:29,Desktop,OptiPlex 3020,Microsoft Windows 11 Pro 10.0.22000,6QN7N02,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,F8:BC:12:57:0F:46
AAM,Tammy-Home,TAMMY-HOME,TAMMY-HOME\Tammy,2/11/2025 22:18,Desktop,XPS 8930,Microsoft Windows 11 Pro 10.0.26100,B1CR0S2,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,B8:85:84:A6:E2:CA|80:2B:F9:67:18:0F|80:2B:F9:67:18:10
AAM,DESKTOP-JC4M8LH,John,DESKTOP-JC4M8LH\John,3/5/2025 16:12,Laptop,20TDS06700,Microsoft Windows 11 Pro 10.0.22631,PF3DV2GK,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,84:14:4D:B7:83:92|00:09:0F:FE:00:01|84:A9:38:DF:FC:7E|00:FF:48:3E:29:96
AAM,KFHLC001,DESKTOP-S8JTMHG,KFHLC001\Mustafa Mojadidi,3/6/2025 10:26,Laptop,Latitude 5420,Microsoft Windows 10 Pro 10.0.19045,GZQV9K3,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,D4:54:8B:02:43:1F|A0:29:19:49:02:9A
AAM,AAMLT966,DESKTOP-G1SC4TL,AAM\dm30265,1/30/2025 18:20,Laptop,Inspiron 15 3521,Microsoft Windows 11 Pro 10.0.26100,24L09W3,Intel(R) Celeron(R) N4020 CPU @ 1.10GHz,F0:A6:54:BD:2F:97|F0:A6:54:BD:2F:98
AAM,AAMLT222,AAMLT222,AAMLT222\support,2/4/2025 14:12,Laptop,Vostro 3520,Microsoft Windows 11 Pro 10.0.22631,7JR5QZ3,12th Gen Intel(R) Core(TM) i5-1235U,A8:3B:76:7D:EE:77|04:BF:1B:95:EE:38|A8:3B:76:7D:EE:78
AAM,PSHLT001,PSHLT001,PSHLT001\Jose_Buenrostro,3/6/2025 9:09,Laptop,Inspiron 16 5640,Microsoft Windows 11 Pro 10.0.26100,1TB8M34,Intel(R) Core(TM) 7 150U,2C:98:11:7D:C7:07|2C:98:11:7D:C7:08
AAM,PSHLT004,PSHLT004,PSHLT004\s.mcgill111407,2/25/2025 13:48,Laptop,Inspiron 15 3520,Microsoft Windows 11 Pro 10.0.26100,2V97514,12th Gen Intel(R) Core(TM) i7-1255U,58:CD:C9:B9:64:2B|58:CD:C9:B9:64:2C
