Status,Site,Hostname,Type,Last User,OS,Serial Number,Description,Last Seen,MAC Address(es),Device CPU
Offline,Dameron Hospital,CPC-Hth-8zkX4g5,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0011-9662-9403-9202-9084-51,CPC-Hth-8zkX4g5,2025-03-19T04:09:45Z,00:22:48:79:3D:8C,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-8zkX4g5,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0001-4178-3409-1686-0200-20,CPC-Hth-8zkX4g5,2025-03-19T10:11:54Z,00:0D:3A:FB:55:F8,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-8zkX4g5,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0003-2603-2378-5645-9025-11,CPC-Hth-8zkX4g5,2025-03-19T16:16:19Z,00:0D:3A:06:C5:CE,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-8zkX4g5,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0016-9923-5385-0007-0446-05,CPC-Hth-8zkX4g5,2025-03-20T04:21:05Z,00:22:48:BF:66:AB,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-8zkX4g5,Desktop,,,,CPC-Hth-8zkX4g5,2025-03-20T10:15:38Z,,
Offline,Dameron Hospital,CPC-Hth-8zkX4g5,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0018-1226-3802-7851-3196-67,CPC-Hth-8zkX4g5,2025-03-20T16:29:02Z,00:0D:3A:F6:CD:02,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-8zkX4g5,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0001-1650-0929-4575-7505-23,CPC-Hth-8zkX4g5,2025-03-20T22:31:11Z,00:22:48:B5:F6:A5,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-8zkX4g5,Desktop,,,,CPC-Hth-8zkX4g5,2025-03-21T04:22:49Z,,
Offline,Dameron Hospital,CPC-Hth-8zkX4g5,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0015-3128-3131-1138-0149-83,CPC-Hth-8zkX4g5,2025-03-21T10:36:14Z,00:22:48:BC:49:7A,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-8zkX4g5,Desktop,,,,CPC-Hth-8zkX4g5,2025-03-21T16:30:42Z,,
Offline,Dameron Hospital,CPC-Hth-8zkX4g5,Desktop,,,,CPC-Hth-8zkX4g5,2025-03-21T22:33:17Z,,
Offline,Dameron Hospital,CPC-Hth-8zkX4g5,Desktop,,,,CPC-Hth-8zkX4g5,2025-03-22T10:38:47Z,,
Offline,Dameron Hospital,CPC-Hth-8zkX4g5,Desktop,,,,CPC-Hth-8zkX4g5,2025-03-22T22:45:02Z,,
Offline,Dameron Hospital,CPC-Hth-8zkX4g5,Desktop,,,,CPC-Hth-8zkX4g5,2025-03-23T04:48:13Z,,
